Fold;CNN;SVM
0;0.9833433805038052;0.9810611631713347
1;0.9798091894218113;0.9815098055009922
2;0.979478005624441;0.9776422532877995
3;0.9802820467593782;0.9786951356992986
4;0.9755361545989508;0.9781798543099507
5;0.9758299654495108;0.9804745830416902
6;0.9781076773633529;0.9787237872104793
7;0.9808746282091505;0.9808381554974769
8;0.9792884613573742;0.9786545358054686
9;0.9768811202129847;0.9760515626366562
